Station,City,Date,Avg_Temp
USS0012B14S,"COPPER CAMP, MT US",1/2/21,27
USS0010D13S,"LICK CREEK, MT US",1/2/21,26
USS0010C27S,"ELK PEAK, MT US",1/2/21,26
USS0010C15S,"DAISY PEAK, MT US",1/2/21,26
USS0010D31S,"BOX CANYON, MT US",1/2/21,26
USS0013C01S,"STUART MOUNTAIN, MT US",1/2/21,26
USS0013D10S,"BLOODY DICK, MT US",1/2/21,26
USS0013C03S,"SKALKAHO SUMMIT, MT US",1/2/21,26
USR0000MBRE,"BRENNER MONTANA, MT US",1/2/21,26
USS0013C44S,"BARKER LAKES, MT US",1/2/21,26
USS0010C22S,"ONION PARK, MT US",1/2/21,25
USS0011D11S,"LOWER TWIN, MT US",1/2/21,25
USS0010C08S,"S FORK SHIELDS, MT US",1/2/21,25
USR0000MGIR,"GIRD POINT MONTANA, MT US",1/2/21,25
USS0013C43S,"WARM SPRINGS, MT US",1/2/21,25
USS0011D28S,"ALBRO LAKE, MT US",1/2/21,24
USS0012E08S,"BEAGLE SPRINGS, MT US",1/2/21,24
USS0011E07S,"WEST YELLOWSTONE, MT US",1/2/21,24
USS0010D16S,"SHOWER FALLS, MT US",1/2/21,24
USR0000MBIG,"BIGHORN MOUNTAIN MONTANA, MT US",1/2/21,24
USS0011E39S,"SHORT CREEK, MT US",1/2/21,24
USS0012C11S,"ROCKER PEAK, MT US",1/2/21,24
USS0012D11S,"MULE CREEK, MT US",1/2/21,24
USR0000MFRE,"FRENCH CREEK MONTANA, MT US",1/2/21,23
USS0013E23S,"LEMHI RIDGE, MT US",1/2/21,23
USR0000MDEE,"DEER MOUNTAIN WEST MONTANA, MT US",1/2/21,22
USS0011E30S,"WHISKEY CREEK, MT US",1/2/21,22
USS0010D07S,"NORTHEAST ENTRANCE, MT US",1/2/21,22
USS0010C06S,"SPUR PARK, MT US",1/2/21,22
USS0011C01S,"BOULDER MOUNTAIN, MT US",1/2/21,21
USS0011E03S,"LAKEVIEW RIDGE, MT US",1/2/21,21
USS0010D24S,"PLACER BASIN, MT US",1/2/21,20
USS0013D19S,"DARKHORSE LAKE, MT US",1/2/21,20
USS0011D19S,"LONE MOUNTAIN, MT US",1/2/21,20
USR0000MWIC,"WICKED CREEK MONTANA, MT US",1/2/21,20
USR0000MHEB,"HEBGEN LAKE MONTANA, MT US",1/2/21,20
USS0012E07S,"DIVIDE, MT US",1/2/21,19
USR0000MRED,"RED ROCK MONTANA, MT US",1/2/21,19
USS0011E31S,"MADISON PLATEAU, MT US",1/2/21,19
USS0011D08S,"CLOVER MEADOW, MT US",1/2/21,19
USR0000MANT,"ANTELOPE MONTANA, MT US",1/2/21,19
USS0010D12S,"MONUMENT PEAK, MT US",1/2/21,18
USS0011E38S,"BEAVER CREEK, MT US",1/2/21,18
USS0011E24S,"TEPEE CREEK, MT US",1/2/21,18
USS0011E35S,"BLACK BEAR, MT US",1/2/21,18
